"时间戳","社会统一信用代码 主键","企业名称","省","行政区划省","市","行政区划市","区县","行政区划区县","详细地址","国民经济门类","国民经济大类","国民经济中类","国民经济小类","上报状态 1已上报 0未上报","上报时间","上报时间字符串yyyyMMdd","是否规上企业 1 是 0 否","国民经济门类","国民经济大类","国民经济中类","国民经济小类","乡镇/街道","乡镇/街道名称","行业监管大类","是否编辑","是否修改","创建人","创建日期","修改人","修改日期","数据来源","标准地址","经度","纬度","风险报告ID（二次加工，最新一次近两年）","企业安全风险等级,字典：ep_last_level(A、B、C、D)","上报方式","年份标志","生产经营地址","标准地址id"
2026-03-16 18:31:37.000,"91310113MA1GK35E7P",上海晖夏塑料机械有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",上海市宝山区宝杨路1800号2号楼A1187室,C,"29","292","2921","2",,"20240612","0",制造业,橡胶和塑料制品业,塑料制品业,塑料薄膜制造,"320585500",太仓港经济技术开发区,E_5,,,,,,,,江苏省苏州市太仓市浮桥镇飞马路470号浏家港,"121.241501","31.557739",,,"1",,,
2026-03-16 18:31:37.000,"91310113MA1GN1P78J",上海恭首包装材料有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",太仓市浏河镇浏浮路880号,C,"20","201","2013","2",,"20240620","0",制造业,木材加工和木、竹、藤、棕、草制品业,木材加工,单板加工,"320585111",浏河镇,E_5,,,,,,,,,,,,,"1",,,
2026-03-16 18:31:37.000,"91310113MA1GNE648W",上海征程木业有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",上海市宝山区蕰川路5475号4幢部分6375室,C,"20","201","2019","2",,"20240513","0",制造业,木材加工和木、竹、藤、棕、草制品业,木材加工,其他木材加工,"320585500",太仓港经济技术开发区,E_5,,,,,,,,江苏省苏州市太仓市浮桥镇平江路666号,"121.162056","31.637605",,,"1",,,
2026-03-16 18:31:37.000,"91310113MA1GNR3364",上海尚本冠实业有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",太仓市浮桥镇平江路666号,C,"20","201","2019","0",,"20250221","0",制造业,木材加工和木、竹、藤、棕、草制品业,木材加工,其他木材加工,"320585500",太仓港经济技术开发区,E,"0","0",,,,,,江苏省苏州市太仓市浮桥镇平江路666号,"121.162056","31.637605",,,"2",,,
2026-03-16 18:31:37.000,"91310114312332901E",上海质利传动科技有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",上海市宝山区南温藻路669号1幢一层1150室,C,"34","345","3452","2",,"20250225","0",制造业,通用设备制造业,轴承、齿轮和传动部件制造,滑动轴承制造,"320585501",高新区,E_4,"0","1",,,,,,江苏省苏州市太仓市娄东街道四通北路19号,"121.13431","31.48026",,,"1",,,
2026-03-16 18:31:37.000,"913101143232155832",上海华赢塑料包装材料有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",,C,"41","419",,"2",,"20240124","0",制造业,其他制造业,其他未列明制造业,,"320585500",太仓港经济技术开发区,E_8,,,,,,,,江苏省苏州市太仓市浮桥镇新港东路3号,"121.24946","31.56277",,,"1",,,
2026-03-16 18:31:37.000,"91310114574160062P",上海梓川木业有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",太仓市浮桥镇平江路666号,C,"20","201","2019","0",,"20250221","0",制造业,木材加工和木、竹、藤、棕、草制品业,木材加工,其他木材加工,"320585500",太仓港经济技术开发区,E,,,,,,,,江苏省苏州市太仓市浮桥镇平江路666号,"121.162056","31.637605",,,"2",,,
2026-03-16 18:31:37.000,"91310114MA1GTL2795",谱质分析检测技术（上海）有限公司,江苏省,"320000",苏州市,"320500",吴中区,"320506",上海市嘉定区华江公路129弄6号J486室,C,"40","401","4014","1",2026-01-15 16:13:50.000,"20260115","1",制造业,仪器仪表制造业,通用仪器仪表制造,实验分析仪器制造,"320506004",郭巷街道,E,,,,,,,,,,,,,"1",,,
2026-03-16 18:31:37.000,"91310114MA1GTYKU7C",度普（苏州）新能源科技有限公司,江苏省,"320000",苏州市,"320500",吴中区,"320506",苏州市吴中区越溪南溪江路88号石湖金陵广场写字楼10层1001室,C,"41","419",,"2",,"20240227","0",制造业,其他制造业,其他未列明制造业,,"320506006",越溪街道,E_8,,,,,,,,江苏省苏州市吴中区越溪街道南溪江路88号石湖金陵广场,"120.599533","31.218126",,,"1",,,
2026-03-16 18:31:37.000,"91310114MA1GUC3E3D",上海朴旭环保科技有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",,C,"35","359","3591","2",,"20240123","0",制造业,专用设备制造业,环保、邮政、社会公共服务及其他专用设备制造,环境保护专用设备制造,"320585501",高新区,E_4,,,,,,,,江苏省苏州市太仓市娄东街道青岛东路218号,"121.124458","31.505463",,,"1",,,
