"时间戳","社会统一信用代码 主键","企业名称","省","行政区划省","市","行政区划市","区县","行政区划区县","详细地址","国民经济门类","国民经济大类","国民经济中类","国民经济小类","上报状态 1已上报 0未上报","上报时间","上报时间字符串yyyyMMdd","是否规上企业 1 是 0 否","国民经济门类","国民经济大类","国民经济中类","国民经济小类","乡镇/街道","乡镇/街道名称","行业监管大类","是否编辑","是否修改","创建人","创建日期","修改人","修改日期","数据来源","标准地址","经度","纬度","风险报告ID（二次加工，最新一次近两年）","企业安全风险等级,字典：ep_last_level(A、B、C、D)","上报方式","年份标志","生产经营地址","标准地址id"
2026-03-09 18:31:40.000,"91320507MA20DBH93M",苏州企欣望机械科技有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇潘阳工业园春旺路8-6号,C,"34","348","3484","1",2026-02-28 14:39:33.000,"20260228","0",制造业,通用设备制造业,通用零部件制造,机械零部件加工,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇春旺路8-6号,"120.538065","31.426721","3c5a89d3571b44b4852082acfc6d590b",D,"1",,,"3205000013200710"
2026-03-09 18:31:39.000,"91320507746807169T",苏州古丽仕服饰有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇东桥长和路99号,C,"18","183",,"1",2026-01-29 15:36:43.000,"20260129","0",制造业,纺织服装、服饰业,服饰制造,,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇安民路88号,"120.494846","31.422007","4630f0959467455999e278445941ace5",D,"1",,,"3205000013241316"
2026-03-09 18:31:39.000,"913205077205394188",苏州金梦新材料科技有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇东桥长和路99号,C,"19","192","1929","1",2026-01-06 10:03:09.000,"20260106","1",制造业,皮革、毛皮、羽毛及其制品和制鞋业,皮革制品制造,其他皮革制品制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇安民路88号,"120.494846","31.422007",a158a4321f2a44dfa0186b5f2bacde3d,A,"1",,,"3205000013241316"
2026-03-09 18:31:40.000,"91320507MA25LLW19J",苏州鸿亦凯智能科技有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇春旺路43号一楼西,C,"34","348","3484","0",,"20250227","0",制造业,通用设备制造业,通用零部件制造,机械零部件加工,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇春旺路43号,"120.516283","31.439664",a9bb9b3c65284f3ca0b2b3bbc9808555,D,"1",,,"3205000013295386"
2026-03-09 18:31:47.000,"91320594MA20LLMH1M",苏州鼎拓易达精密机械有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇春旺路43号一楼中侧,C,"33","331","3311","2",,"20250314","0",制造业,金属制品业,结构性金属制品制造,金属结构制造,"320507103",黄埭镇,E_4,"0","1",,,,,,江苏省苏州市相城区黄埭镇春旺路43号,"120.516283","31.439664",,,"1",,,"3205000013295386"
2026-03-09 18:31:40.000,"91320507MAE2DCY558",苏州市博禹铭机械科技有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",春旺路43号,C,"33","331","3311","0",,"20250115","0",制造业,金属制品业,结构性金属制品制造,金属结构制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇春旺路43号,"120.516283","31.439664","85cc557389ba4c15bfe70b3aac4fb207",D,"1",,,"3205000013295386"
2026-03-09 18:31:37.000,"320506600453178",苏州市吴中区甪直天丰五金制品厂,江苏省,"320000",苏州市,"320500",吴中区,"320506",,C,"33","331",,"2",,"20240116","0",制造业,金属制品业,结构性金属制品制造,,"320506101",甪直镇,E_4,,,,,,,,,,,,,"1",,,
2026-03-09 18:31:37.000,"320506600579938",苏州市吴中区甪直佳利源模具经营部,江苏省,"320000",苏州市,"320500",吴中区,"320506",苏州市吴中区甪直镇淞港村凌港,D,"44","442",,"2",,"20250217","0",电力、热力、燃气及水生产和供应业,电力、热力生产和供应业,电力供应,,"320506101",甪直镇,J,,,,,,,,,,,,,"1",,,
2026-03-09 18:31:40.000,"91320507MA26987T9U",苏州众心力智能科技有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市黄埭镇春旺路43号,C,"33","338","3389","0",,"20250308","0",制造业,金属制品业,金属制日用品制造,其他金属制日用品制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇春旺路43号,"120.516283","31.439664",c02637ae1b154dc38d6153a082931dcf,D,"1",,,"3205000013295386"
2026-03-09 18:31:37.000,"320506600836511",吴中区胥口奥轩机械厂,江苏省,"320000",苏州市,"320500",吴中区,"320506",,C,"34","348","3484","2",,"20240122","0",制造业,通用设备制造业,通用零部件制造,机械零部件加工,"320506108",木渎镇,E_4,,,,,,,,,,,,,"1",,,
2026-03-09 18:31:39.000,"9132050774310138X6",苏州鑫雅乐新材料科技有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇康阳路382号,C,"29","292","2921","1",2026-02-26 10:23:27.000,"20260226","0",制造业,橡胶和塑料制品业,塑料制品业,塑料薄膜制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇康阳路382号,"120.55172","31.458892","776bbd6505574b04b9f10fe166595ab6",D,"1",,,"3205000013307372"
2026-03-09 18:31:39.000,"913205076608174899",苏州市联创塑胶制品有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇康阳路382号,C,"29","292","2927","0",,"20250224","0",制造业,橡胶和塑料制品业,塑料制品业,日用塑料制品制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇康阳路382号,"120.55172","31.458892","9d96aba46fe747c5b3a48a84264d3d95",D,"1",,,"3205000013307372"
2026-03-09 18:31:39.000,"91320507331161730G",苏州坤润精密机械有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇康阳路382号,C,"33","332","3321","0",,"20250307","0",制造业,金属制品业,金属工具制造,切削工具制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇康阳路382号,"120.55172","31.458892","7f63cbf25fe441d7872125b6611b808f",D,"1",,,"3205000013307372"
2026-03-09 18:31:40.000,"91320507MA1R99RY72",苏州宽晟电子有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇春光路62号,C,"39","397","3972","0",,"20250219","0",制造业,计算机、通信和其他电子设备制造业,电子器件制造,半导体分立器件制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇青龙东街6号,"120.570579","31.433054","2e361d2e62f24f4ab016f5362011a92f",D,"1",,,"3205000013312896"
2026-03-09 18:31:37.000,"320506601106688",吴中区胥口福润涛精密机械加工厂,江苏省,"320000",苏州市,"320500",吴中区,"320506",,C,"33","331",,"2",,"20240131","0",制造业,金属制品业,结构性金属制品制造,,"320506108",木渎镇,E_4,,,,,,,,,,,,,"1",,,
2026-03-09 18:31:39.000,"91320507752723850Y",苏州市瑞宝家具有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇东桥警民路6号,C,"33","338","3389","1",2026-02-05 10:29:26.000,"20260205","0",制造业,金属制品业,金属制日用品制造,其他金属制日用品制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇金龙村警民路6号,"120.512675","31.404497",a7fd4977caaa487baadc25f531c8f8a0,B,"1",,,"3205000013312982"
