"时间戳","市","企业历史id","区、县","备注","地址名称","省","街道、乡镇","是否为主要","主键id","详细地址","创建人","修改人","创建时间","修改时间","排序","删除标识","统一社会信用代码","经度","纬度"
2026-03-11 20:03:07.000,"320500","9e731108c05e40689d2749d86cda5dda","320581","8aae073b9bb52a91019bb57a5a78429c",新濂中心路,"320000","320581106","1","000aa610a02f4965a27de95e65a665db",何市开发区11号,admin,admin,2026-01-13,2026-01-13,1,"0","913205817395960769","120.991693","31.642551"
2026-03-11 20:03:07.000,"320500",faddc99cd1854a03b6d0a9b03cecd480,"320583","8ae4ca8778a2979f0178b49516d44431",昆山联岑纸箱包装有限公司,"320000","320583105","1","000ad8ba9e3c49f19efaca2a091375a6",新乐路298号8号房,admin,admin,2022-01-24,2022-01-24,1,"0","91320583796539465R","121.044292","31.177362"
2026-03-11 20:03:07.000,"320500",b26e2f89067343288e37496aed535b59,"320583",c3ehat5xyqw0000000,昆山巨久模具有限公司,,"320583106","1","000af2b7c5364a5f8bfa8a1ca2be5e7e",昆山市张浦镇南港建林路118号,admin,admin,2022-01-19,2022-01-19,1,"0","91320583314054263C","120.889631","31.286288"
2026-03-11 20:03:07.000,"320500","3ac1f434d2fb4a10afed36f57836602d","320582","8aae07369667e4c601966a72b2cf0ffe",张家港保税区宏裕丰生物技术有限责任公司,"320000","320582403","1","000afc5320d34290b1bb3c99bcb06776",金港路西侧兰斯特厂房A栋,admin,admin,2025-04-27,2025-04-27,1,"0","91320592088512448T","120.450100","31.961670"
2026-03-11 20:03:07.000,"320500","8c379e8d32b9425ca7f9193e33a594a1","320509","8ae4ca877c84f941017ca161d2b762ef",苏州创合智造科技有限公司,"320000","320509110","1","000afd0b88eb4c728026f1fc77d2e5f4",北厍沈家港村,admin,admin,2022-03-01,2022-03-01,1,"0","91320509MA26HBMX9Y","120.768503","31.035783"
2026-03-11 20:03:07.000,"320500","3670ab25abeb4a80a3c31597a7cdcc5b","320583","8aae07368e38775f018e3c05b46d1d1a",昆山海居金属制品有限公司,"320000","320583104","1","000b09b64b1a424b8058c283921f8f09",逢星路608号5号房,admin,admin,2024-03-14,2024-03-14,1,"0","91320583MA1MR09N1Y","118.753962","33.060960"
2026-03-11 20:03:07.000,"320500",e3c6302306e14cc199b7f5d637eb3355,"320582","8aae07369b760f05019b877c73367800",张家港市嘉铭金属制品有限公司,"320000","320582003","1","000b1b2133f5498199d4791eb1bcdbb7",长江东路110号,admin,admin,2026-01-04,2026-01-04,1,"0","913205825822701499","120.502541","31.999250"
2026-03-11 20:03:07.000,"320500","57273c278aec47e1b39a11e2976b62e3","320506",kk94ks9geps0000000,苏州市珍旺机电厂,,"320506110","1","000b828772664fcea36094e764597ca5",苏州市吴中区临湖镇湖桥工业三区13-14幢,admin,admin,2024-01-23,2024-01-23,1,"0","913205067945895141","120.505165","31.153119"
2026-03-11 20:03:07.000,"320500","6242fee1e9c64d9880e59d548ab2c1f6","320582",ff8080818653d17101865e0e81da0e3b,车间,"320000","320582103","1","000b938d93c143899a120ecd74a915e3",合兴兴盛路36#,admin,admin,2023-02-17,2023-02-17,1,"0","91320582MA1W541K6K","118.763196","33.061434"
2026-03-11 20:03:07.000,"320500",ea7286cd9f594cb18496d00be1e1e6eb,"320506","8ae4ca8879e2252b0179efd1e08a3d9f",鑫鸿石材,"320000","320506103","1","000b939d27bf4b91af884eb6c4a5c03c",天池村,admin,admin,2022-03-08,2022-03-08,1,"0","92320506MA21H1D509","120.45719","31.309712"
